item_type,item_name,avg_temp_c,humidity_pct,storage_type,location,season,expiry_days
Fruit,Banana,30.8,39.1,ColdStorage,Rural,Summer,8
Fruit,Banana,6.2,48.3,Room,Mountain,Spring,8
Fruit,Banana,16.5,49.4,ColdStorage,Mountain,Winter,15
Fruit,Banana,12.9,35.3,Refrigerated,Urban,Winter,12
Fruit,Banana,22.0,85.5,Refrigerated,Coastal,Summer,9
Fruit,Banana,2.9,87.9,Refrigerated,Coastal,Spring,14
Fruit,Banana,12.2,94.8,Refrigerated,Coastal,Monsoon,10
Fruit,Banana,23.2,61.2,Refrigerated,Urban,Monsoon,5
Fruit,Banana,24.6,30.4,Refrigerated,Urban,Winter,10
Fruit,Banana,11.2,81.4,Refrigerated,Coastal,Summer,11
Fruit,Banana,16.8,22.9,Room,Urban,Summer,9
Fruit,Banana,25.1,40.0,Room,Rural,Monsoon,4
Fruit,Banana,19.4,75.4,ColdStorage,Rural,Spring,6
Fruit,Banana,10.7,45.1,Room,Mountain,Winter,8
Fruit,Banana,20.4,42.3,Room,Coastal,Spring,5
Fruit,Banana,12.9,76.9,Room,Urban,Winter,6
Fruit,Banana,9.0,39.2,ColdStorage,Mountain,Monsoon,9
Fruit,Banana,14.1,56.6,Room,Rural,Spring,7
Fruit,Banana,6.3,81.9,Refrigerated,Urban,Winter,11
Fruit,Banana,4.7,58.6,Room,Mountain,Summer,9
Fruit,Banana,9.0,86.7,Refrigerated,Rural,Monsoon,10
Fruit,Banana,17.8,91.7,ColdStorage,Mountain,Monsoon,9
Fruit,Banana,4.9,85.4,Room,Coastal,Monsoon,4
Fruit,Banana,26.9,41.1,ColdStorage,Mountain,Winter,11
Fruit,Banana,14.5,87.6,Refrigerated,Rural,Summer,9
Fruit,Banana,28.5,61.5,Room,Mountain,Spring,4
Fruit,Banana,6.5,88.2,Refrigerated,Urban,Winter,5
Fruit,Banana,11.1,70.4,Room,Mountain,Monsoon,4
Fruit,Banana,23.7,43.8,ColdStorage,Mountain,Spring,9
Fruit,Banana,23.9,48.2,ColdStorage,Urban,Winter,6
Fruit,Banana,27.5,83.3,ColdStorage,Urban,Spring,6
Fruit,Banana,12.0,58.0,Refrigerated,Coastal,Spring,6
Fruit,Banana,28.8,53.5,ColdStorage,Coastal,Monsoon,8
Fruit,Banana,16.4,23.6,ColdStorage,Rural,Winter,12
Fruit,Banana,11.0,43.8,Room,Coastal,Spring,6
Fruit,Banana,15.6,58.8,Refrigerated,Coastal,Winter,9
Fruit,Banana,13.2,57.5,Room,Rural,Spring,6
Fruit,Banana,24.4,49.9,Refrigerated,Mountain,Winter,9
Fruit,Banana,27.6,47.8,ColdStorage,Urban,Monsoon,6
Fruit,Banana,5.1,51.3,Refrigerated,Coastal,Spring,11
Fruit,Banana,33.9,89.8,Room,Urban,Spring,3
Fruit,Banana,21.2,23.0,Room,Coastal,Monsoon,7
Fruit,Banana,13.5,80.9,Refrigerated,Mountain,Winter,11
Fruit,Banana,0.4,73.3,Room,Urban,Monsoon,8
Fruit,Banana,14.0,24.7,Refrigerated,Coastal,Monsoon,12
Fruit,Banana,14.1,80.1,Room,Mountain,Winter,4
Fruit,Banana,12.5,44.9,ColdStorage,Urban,Spring,13
Fruit,Banana,20.0,85.8,Room,Rural,Spring,4
Fruit,Banana,11.8,31.7,ColdStorage,Coastal,Monsoon,17
Fruit,Banana,31.5,40.6,Room,Rural,Spring,4
Fruit,Banana,15.8,67.8,Refrigerated,Rural,Monsoon,11
Fruit,Banana,8.6,84.3,Room,Coastal,Spring,5
Fruit,Banana,26.8,26.7,Room,Coastal,Summer,6
Fruit,Banana,26.1,34.7,Refrigerated,Coastal,Summer,5
Fruit,Banana,34.0,82.5,Refrigerated,Mountain,Monsoon,5
Fruit,Banana,10.1,54.1,Room,Coastal,Spring,8
Fruit,Apple,9.2,56.3,ColdStorage,Coastal,Spring,60
Fruit,Apple,30.7,26.7,Room,Coastal,Spring,18
Fruit,Apple,7.8,58.5,Room,Mountain,Spring,35
Fruit,Apple,30.3,72.0,ColdStorage,Urban,Summer,40
Fruit,Apple,14.4,35.6,Refrigerated,Mountain,Winter,55
Fruit,Apple,5.9,56.4,ColdStorage,Mountain,Monsoon,60
Fruit,Apple,6.9,76.9,Refrigerated,Urban,Winter,60
Fruit,Apple,1.0,64.1,ColdStorage,Coastal,Monsoon,60
Fruit,Apple,0.0,91.6,ColdStorage,Mountain,Winter,56
Fruit,Apple,25.1,37.6,Refrigerated,Coastal,Monsoon,39
Fruit,Apple,27.7,94.8,ColdStorage,Rural,Monsoon,38
Fruit,Apple,3.7,58.1,Refrigerated,Mountain,Monsoon,52
Fruit,Apple,28.5,84.1,Refrigerated,Rural,Winter,31
Fruit,Apple,28.2,66.4,Refrigerated,Coastal,Summer,29
Fruit,Apple,21.4,48.3,ColdStorage,Coastal,Summer,51
Fruit,Apple,8.1,51.7,Room,Mountain,Summer,31
Fruit,Apple,33.3,65.8,Room,Coastal,Summer,14
Fruit,Apple,5.0,42.6,Refrigerated,Urban,Spring,60
Fruit,Apple,6.2,46.0,Room,Mountain,Monsoon,41
Fruit,Apple,17.9,84.2,Refrigerated,Mountain,Monsoon,34
Fruit,Apple,23.0,71.6,Room,Urban,Winter,24
Fruit,Apple,2.1,87.9,Room,Coastal,Spring,31
Fruit,Apple,21.9,90.6,Room,Rural,Spring,19
Fruit,Apple,3.5,84.8,ColdStorage,Mountain,Winter,51
Fruit,Apple,28.3,24.5,ColdStorage,Urban,Monsoon,40
Fruit,Apple,12.6,43.0,Room,Coastal,Monsoon,32
Fruit,Apple,17.3,23.0,ColdStorage,Mountain,Summer,60
Fruit,Apple,31.3,88.3,ColdStorage,Coastal,Summer,26
Fruit,Apple,25.4,78.3,Refrigerated,Urban,Spring,33
Fruit,Apple,32.8,71.3,Refrigerated,Rural,Winter,25
Fruit,Apple,4.7,24.5,Room,Urban,Winter,38
Fruit,Apple,27.8,60.2,Refrigerated,Rural,Monsoon,29
Fruit,Apple,23.2,59.8,ColdStorage,Rural,Summer,51
Fruit,Apple,25.1,68.7,Room,Urban,Summer,20
Fruit,Apple,1.9,34.0,ColdStorage,Urban,Summer,60
Fruit,Apple,25.1,92.4,Refrigerated,Coastal,Monsoon,37
Fruit,Apple,21.5,58.4,Refrigerated,Coastal,Summer,42
Fruit,Apple,19.1,85.9,Refrigerated,Urban,Monsoon,35
Fruit,Apple,13.3,93.3,Room,Rural,Summer,24
Fruit,Apple,20.0,34.0,Refrigerated,Urban,Summer,46
Fruit,Apple,20.3,74.6,ColdStorage,Mountain,Winter,55
Fruit,Apple,25.4,78.8,ColdStorage,Mountain,Spring,32
Fruit,Apple,33.7,79.5,Room,Urban,Monsoon,12
Fruit,Apple,29.7,88.9,Refrigerated,Mountain,Monsoon,21
Fruit,Apple,11.7,82.3,ColdStorage,Rural,Monsoon,51
Fruit,Apple,11.5,30.9,ColdStorage,Coastal,Winter,60
Fruit,Apple,8.0,43.9,Room,Mountain,Winter,40
Fruit,Apple,4.7,30.8,Room,Urban,Monsoon,48
Fruit,Apple,28.7,60.4,ColdStorage,Mountain,Monsoon,40
Fruit,Apple,6.7,51.6,Refrigerated,Urban,Spring,45
Fruit,Apple,32.9,74.0,Room,Rural,Winter,16
Fruit,Apple,12.1,46.1,Room,Mountain,Winter,31
Fruit,Apple,11.6,67.3,Refrigerated,Urban,Spring,42
Fruit,Apple,22.1,90.5,Room,Mountain,Spring,20
